country,ISO,FAOCODE,Unit,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
China,CHN,351,Billion,7.157118797,5.07644558,5.423312664,5.961763859,6.164661407,6.169090748,6.954473495,7.057375431,6.853154182,7.87562418,8.470032692,8.947440147,9.057350159,9.022819519,9.081662178,8.632165909,9.861392975,10.7107811,16.42263412,15.78026962,17.90970802,20.77990341,22.25986862,23.97156334,29.8431015,29.90255356,36.71691132,37.57403564,46.38770294,90.29013062,89.84550476,89.41989136,103.940506
Fiji,FJI,66,Billion,0.031958077,0.03247758,0.031798366,0.033496529,0.037959632,0.04035699,0.05471047,0.037376635,0.029237712,0.042660329,0.039703626,0.038054362,0.037650079,0.032251753,0.041347694,0.026319083,0.025720449,0.028051201,0.026918739,0.025005719,0.030795718,0.030389726,0.030639647,0.030549172,0.030025909,0.026807152,0.02758372,0.021386251,0.017463086,0.011684193,0.010247644,0.009150302,
Indonesia,IDN,101,Billion,1.779028893,1.571623445,1.518597007,1.315730572,2.098710775,1.446414471,1.140141487,1.929158688,1.482277036,1.827743292,1.91710186,1.948980808,2.138083696,1.916678309,2.373126268,1.631290793,2.432803631,1.967208862,2.09604001,1.541068196,1.082684517,0.664619803,0.990783334,1.465676904,1.291108251,1.273707271,1.339102864,1.56349504,,,,,
Malaysia,MYS,131,Billion,0.746929049,1.016044974,0.995569408,0.950836599,0.905039012,0.923596621,1.01509726,0.966364205,0.925635695,0.948888838,1.043276191,1.008462191,1.003165483,0.986110747,0.985269845,0.935355365,0.946631968,0.840350211,0.669859886,0.744236708,0.769533873,0.861465693,0.850153983,0.989361644,1.251001835,1.188801408,1.465973854,1.783218026,1.699692726,2.807224512,2.893037081,3.615780354,4.121640682
Mongolia,MNG,141,Billion,,,,,,,,,,,,,0.002956662,0.007193169,0.005570524,0.010081124,0.008990386,0.008981128,0.009158807,0.00826861,0.012486248,0.015894985,0.017666927,0.015004422,0.012718534,0.012057283,0.015991049,0.020234797,0.023476424,0.021744836,0.055388156,0.102989949,0.034054879
Myanmar,MMR,28,Billion,0.107638739,0.131533414,0.140264884,0.119798861,0.142656043,0.143767983,0.127912924,0.123005666,0.07844799,0.050208498,0.048802875,0.035217203,0.028128047,0.028161153,0.042593926,0.069298059,0.061264429,0.057868648,0.057458241,0.050932694,0.098114006,0.052976586,0.053452007,0.073192932,0.082187518,0.09059719,0.093043268,0.102347545,0.098351203,0.097893342,0.087644838,,
Papua New Guinea,PNG,168,Billion,0.064264879,0.051629733,0.048921671,0.041785277,0.046573456,0.040576085,0.049808368,0.050932232,0.045421291,0.058551461,0.068427667,0.062995911,0.075387903,0.091817819,0.104389027,0.046377759,0.046692602,0.03270312,0.033416603,0.032204267,0.035925873,0.028321646,0.019170977,0.020618275,0.023050336,0.030371221,0.026917897,0.023723839,,,,,
Philippines,PHL,171,Billion,0.384070933,0.448339969,0.58422637,0.49198395,0.35854727,0.318879336,0.337080449,0.370350957,0.37340188,0.71791023,0.745686412,0.781790078,0.894740343,0.889915526,0.786087215,0.772112727,0.877960205,0.869137108,0.811600864,0.782660007,0.851201832,0.841662765,0.791294873,0.667539775,0.546761692,0.47090441,0.475924373,1.007445812,0.671275437,1.142588973,1.299513817,0.784295499,1.211758494
Singapore,SGP,200,Billion,0.020169223,0.031148938,0.024050841,0.019295465,0.029574938,0.032437112,0.021268938,0.021986393,0.021571826,0.023642378,0.066536419,0.03738327,0.030831534,0.027858878,0.026282445,0.027993379,0.029508721,0.035689484,0.031356458,0.03609807,0.124047637,0.034997735,0.044135123,0.047371395,0.040476028,0.038452353,0.035325941,0.060396899,0.057165604,0.057867598,0.062593326,0.067660362,0.071159735
Thailand,THA,216,Billion,0.765945375,0.882026374,1.001575589,0.996065915,1.016012907,1.318058014,1.173902631,1.139274478,1.083224535,1.047667027,1.31788373,1.443041921,1.992956877,1.917067051,2.249786854,2.474286556,2.495963573,2.542208195,1.797991157,2.060411692,2.234748363,2.147961855,2.969376326,2.288645029,1.990675688,1.85727644,1.684542298,2.518170118,2.19528842,2.116487265,2.571312428,3.425494671,2.26125288
Tonga,TON,219,Billion,0.003036179,0.003581322,0.010868934,0.004327568,0.005716727,0.005584766,0.005238925,0.00422205,0.003427432,0.003040028,0.003331644,0.003403066,0.00416228,0.004961472,0.006491796,0.000516319,0.004697425,0.004678788,0.004409491,0.003608457,0.006424844,0.00668626,0.005273694,0.005090267,0.004638206,0.004179026,0.004684664,0.002330181,0.002452296,0.002883156,0.004444153,0.002174405,0.003362429
Vanuatu,VUT,155,Billion,0.00112742,0.001048803,0.005030452,0.006397103,0.005912626,0.009467836,0.006874757,0.006093799,0.007061454,0.006629678,0.004075093,0.003733861,0.003230001,0.002802403,0.00252704,0.002496972,0.001736177,0.002393076,0.003132248,0.002946951,0.002584688,0.002559344,0.00281114,0.002937738,0.002929929,0.002984187,0.002978237,0.002988868,,,,,
Viet Nam,VNM,237,Billion,,,,,,,,,,,0.167236969,0.157705396,0.215505421,0.282662183,0.330855995,0.4637959,0.522749007,0.524494231,0.586436331,0.665439367,0.807642102,0.791639447,0.851893544,0.949867129,0.978962779,0.958153248,0.964179575,0.994607449,1.017956853,0.973184466,0.959423423,,
Albania,ALB,3,Billion,,,,,,,,,,,,,,,,0.056141254,0.055892251,0.051242832,0.065921023,0.069810219,0.072159871,0.075089015,0.078837804,0.051577371,0.048235819,0.04962847,0.054556519,,,,,,
Azerbaijan,AZE,52,Billion,,,,,,,,,,,,,,,,0.086116642,0.046552755,0.052339152,0.055897985,0.057846252,0.05150868,0.050541624,0.064377151,0.071589634,0.076449051,0.101542063,0.125414386,0.19540295,0.168393478,0.28886801,0.240852281,0.231722608,0.239993542
Belarus,BLR,57,Billion,,,,,,,,,,,,,0.527181149,0.141148403,0.035001379,0.129409358,0.095456354,0.436499625,0.463082135,0.424916089,0.506039202,0.442815483,0.364280075,0.504801452,0.823270321,1.004342079,1.102104068,1.088545322,1.045421243,1.126911163,1.031512737,0.799193621,0.6977911
Bulgaria,BGR,27,Billion,,,,,,,,,,,,0.078127451,0.026597129,0.001252179,0.052000292,0.016895982,0.008772841,0.060665168,0.014334609,0.044807423,0.122726053,0.138313726,0.202697977,0.22144407,0.208267242,0.215712354,0.217045382,0.200094968,0.196944103,0.139634773,0.138976663,0.069377072,0.076359563
Georgia,GEO,73,Billion,,,,,,,,,,,,,,,,,,,0.018993273,0.012085536,0.009161724,0.010461369,0.010810984,0.009485142,0.017386802,0.026700869,0.036257934,0.035462771,0.034522109,0.028632248,0.010765948,0.011210282,0.076297477
Kazakhstan,KAZ,108,Billion,,,,,,,,,,,,,,,,,,0.199008122,0.105769433,0.108914219,0.120017834,0.243338391,0.294551164,0.440382749,0.566561103,0.419104159,0.404658139,0.449668229,0.541572332,0.635926187,0.649602771,0.615948498,0.547840655
Kyrgyzstan,KGZ,113,Billion,,,,,,,,,,,,,,0.04522657,0.011806333,0.015266872,0.012888541,0.014214583,0.019161919,0.0154548,0.014882556,0.017676186,0.021239089,0.021525353,0.02145147,0.020931624,0.019964257,0.015988316,,,,,
Latvia,LVA,119,Billion,,,,,,,,,,,,,,,0.060022026,0.128020689,0.115711212,0.118323892,0.162062615,0.181639478,0.142091289,0.136898711,0.168714151,0.222595587,0.316634148,0.51406312,0.479803264,0.396062076,0.388456404,0.429920256,0.288966447,0.343567133,0.331774116
Lithuania,LTU,126,Billion,,,,,,,,,,,,,,0.203330964,0.193353266,0.282022804,0.279209018,0.274206966,0.250711143,0.222144514,0.284792274,0.236605793,0.254967809,0.343402028,0.271202445,0.26236245,0.306983262,0.374299377,0.351123571,0.337568104,0.270069778,0.225268617,0.225261495
Republic of Moldova,MDA,146,Billion,,,,,,,,,,,,,,,,0.011881068,0.011381584,0.016336404,0.016621862,0.019161023,0.019486174,0.004918275,0.01035673,0.010780782,0.018259106,0.042921912,0.043603227,0.069550999,0.063461117,0.055188969,0.040907551,0.037648585,0.052909128
