Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3524212369,3622830768,2817245219,3315844185,3146429377,3608968537,3070642889,4439012096,4156019105,3840480688,4540400207,4540639369,4536066713,4279451538,4535009764,4709047834
Albania,ALB,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,883112808.7,900501990.4,907025090.7,986477276.9,945562671.4,1006013572,1044296584,1011691528,946256285.5,1065730776,1104472779,912292166.8,1081048034,1193552031,1292570398,1463286166,1506943893,1249256488,1326710390,1398352751,1492042385,1532327530,1562974081,1608300329,1709623250,1721590612,1774959921,1822883839,1952308592,1989402455,2141586489,2243805159,2364841971,2391684157,2438608047,2457332575,2507643729,2528590867
Algeria,DZA,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7358009579,7019541138,7918042404,7823025896,9348515945,9853335806,10079962530,10896439493,11168850481,10744434164,13011509771,13649073750,15232366306,16329096680,17668082608,18109784671,19196371752,19541906443,19737325508
American Samoa,ASM,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16768211.92,,,,,,,
Angola,AGO,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2848249210,3076759756,3355917128,3508582300,4080590246,4308177935,4512944417,4771654901,5179054574,5653258848,6055226867,6298626983,7389781010,8144591347,8461188998,8500990461
Antigua and Barbuda,ATG,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,21769987.25,24839659.7,18036701.84,17072982.21,13955174.43,11647100.99,11409805.17,10708806.53,10241599.03,10954689.73,12545905.17,13335210.09,14029193.05,14883050.8,15398258.93,16071446.25,16719857.53,16510252.3,15122524.22,14808409.18,15541464.4,16200822.18,16736525.04,17292634.35,16925048.13,18958214.37,20093857.59,19700684.48,22009675.54,23264559.04,23045944.34,21463116.27,18445981.17,18757888.89,21300450.35,21819260.47,23029907.49,19337873.28,19853620.17,10221221.42,10368323.48
Argentina,ARG,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,12505389942,12620124776,12941372492,12390669679,12941372492,11739003178,11923730021,12153169008,13455348911,13822464178,13442731632,14077180721,14421355312,14822903863,15247408377,14331567928,14832327774,15941522047,16264738402,16323016620,16046322136,16075002144,15636477317,16866469723,15480431270,16793250904,17480623500,17513486848,17938306627,19243782776,20312293494,20131495534,20254079164,21934373188,22455171867,22058641211,22387563395,21794179535,23269736598,23358935262,27747724013,27601895625,29958430354,29303592591,21654928123,30213817111,29480079641,25684474255,28632183666,29520999141,31747461596,30249951817,31171092957
Armenia,ARM,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
