Country,FAOPos,FAOCODE,2012,2013,2014,2015,2016,2017
Algeria,3,DZA,25,50,50,50,50,50
Angola,5,AGO,25,25,25,25,25,25
Argentina,7,ARG,75,75,75,100,100,100
Australia,9,AUS,100,100,100,100,100,100
Austria,10,AUT,100,100,100,100,100,100
Azerbaijan,11,AZE,50,50,50,75,75,75
Bahrain,13,BHR,75,75,75,75,75,75
Bangladesh,14,BGD,50,50,50,50,50,50
Belarus,16,BLR,75,75,75,75,100,100
Belgium,17,BEL,100,100,100,100,100,100
Benin,20,BEN,25,25,25,25,25,25
Bolivia,19,BOL,50,50,50,50,50,50
Botswana,25,BWA,25,25,50,50,50,50
Brazil,26,BRA,75,75,75,100,100,100
Bulgaria,29,BGR,75,75,75,100,100,100
Burkina Faso,30,BFA,25,25,25,25,25,25
Burundi,31,BDI,0,0,0,0,0,0
Cambodia,32,KHM,25,50,50,50,50,50
Cameroon,33,CMR,25,25,25,25,25,25
Canada,34,CAN,100,100,100,100,100,100
Chad,38,TCD,0,0,0,0,0,0
Chile,39,CHL,75,75,75,75,100,100
China,40,CHN,75,75,75,75,75,75
Colombia,41,COL,50,50,50,50,50,50
Congo (Dem. Rep.),53,COD,0,0,0,0,0,0
Costa Rica,45,CRI,50,50,50,75,75,75
Cote d’Ivoire,51,CIV,0,25,25,25,25,25
Czech Republic,49,CZE,100,100,100,100,100,100
Denmark,54,DNK,100,100,100,100,100,100
Dominican Republic,57,DOM,25,25,25,25,25,25
Ecuador,58,ECU,25,50,50,50,50,75
Egypt,59,EGY,50,50,50,50,75,50
El Salvador,60,SLV,50,50,50,50,50,50
Ethiopia,64,ETH,25,25,25,25,25,25
Finland,68,FIN,100,100,100,100,100,100
France,69,FRA,100,100,100,100,100,100
Germany,75,DEU,100,100,100,100,100,100
Ghana,76,GHA,25,25,25,25,25,25
Greece,77,GRC,100,100,100,75,75,75
Guatemala,81,GTM,50,50,50,50,50,50
Guinea,82,GIN,0,50,50,50,50,0
Haiti,85,HTI,0,0,0,0,0,0
Honduras,86,HND,25,25,25,25,25,25
Hungary,87,HUN,100,100,100,100,100,100
India,89,IND,75,75,75,75,75,75
Indonesia,90,IDN,50,50,50,50,50,50
Ireland,93,IRL,100,100,100,100,100,100
Israel,94,ISR,100,100,100,100,100,100
Italy,95,ITA,100,100,100,100,100,100
Japan,97,JPN,100,100,100,100,100,100
Jordan,98,JOR,50,50,50,50,50,50
Kazakhstan,99,KAZ,50,50,50,50,75,75
Kenya,100,KEN,50,50,50,50,50,50
Kuwait,102,KWT,100,100,100,100,100,100
Laos,104,LAO,0,0,0,0,0,0
Madagascar,113,MDG,0,0,0,0,0,0
Malawi,114,MWI,0,0,0,0,0,0
Malaysia,115,MYS,75,75,75,75,75,75
Mali,117,MLI,25,25,25,25,25,25
Mexico,123,MEX,75,75,75,75,75,75
Morocco,128,MAR,50,50,50,50,50,50
Mozambique,129,MOZ,0,0,0,0,0,0
Myanmar,130,MMR,25,25,25,25,25,25
Nepal,133,NPL,25,25,25,25,25,50
Netherlands,134,NLD,100,100,100,100,100,100
New Zealand,136,NZL,100,100,100,100,100,100
Nicaragua,137,NIC,50,50,50,50,50,50
Niger,138,NER,0,0,0,0,0,0
Nigeria,139,NGA,25,25,25,25,25,50
Norway,141,NOR,100,100,100,100,100,100
Oman,143,OMN,75,75,75,75,75,75
Pakistan,145,PAK,75,75,75,75,75,75
Panama,146,PAN,50,50,50,50,50,50
Paraguay,148,PRY,25,50,50,50,50,50
Peru,149,PER,50,50,50,50,50,50
Philippines,150,PHL,50,50,50,50,50,50
Poland,151,POL,100,100,100,100,100,100
Portugal,152,PRT,100,100,100,100,100,100
Qatar,154,QAT,100,100,100,100,100,100
Romania,157,ROU,100,100,100,100,100,100
Russia,158,RUS,75,75,75,100,100,100
Rwanda,159,RWA,25,25,25,25,25,25
Saudi Arabia,168,SAU,100,100,100,100,100,100
Senegal,169,SEN,25,25,25,25,25,25
Serbia,170,SRB,75,75,75,75,75,75
Sierra Leone,173,SLE,0,0,0,0,0,0
Singapore,174,SGP,100,100,100,100,100,100
Slovakia,175,SVK,75,75,75,75,75,75
South Africa,179,ZAF,50,75,75,75,75,75
South Korea,155,KOR,100,100,100,100,100,100
Spain,180,ESP,100,100,100,100,100,100
Sri Lanka,181,LKA,50,50,75,75,75,75
Sudan,182,SDN,0,0,25,25,25,25
Sweden,185,SWE,100,100,100,100,100,100
Switzerland,186,CHE,100,100,100,100,100,100
Syria,187,SYR,25,25,25,25,25,0
Tajikistan,188,TJK,25,25,25,25,25,25
Tanzania,205,TZA,25,25,25,25,25,25
Thailand,189,THA,75,75,75,75,75,100
Togo,192,TGO,0,0,0,0,0,0
Tunisia,196,TUN,50,50,50,50,50,50
Turkey,197,TUR,75,75,75,75,75,75
Uganda,201,UGA,25,25,25,25,25,25
Ukraine,202,UKR,50,50,50,50,50,50
United Arab Emirates,203,ARE,100,100,100,100,100,100
United Kingdom,204,GBR,100,100,100,100,100,100
United States,207,USA,100,100,100,100,100,100
Uruguay,208,URY,75,75,100,100,100,100
Uzbekistan,209,UZB,50,50,50,75,75,75
Venezuela,211,VEN,75,75,75,75,75,25
Vietnam,212,VNM,75,75,75,75,75,75
Yemen,215,YEM,25,25,25,25,25,0
Zambia,217,ZMB,25,50,50,50,50,50
