ISO,Drivers,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AFG,AFG,1.34,55.44,142.36,130.74,104.59,70.05,149.94,62.18,19.29,36.26,32.68,7.75,0.19,0.45,0
AFG,Forestry,1.34,55.31,141.91,124.77,86.33,68.44,142.54,57.3,16.47,33.43,32.1,5.56,0.19,0.45,0
AFG,Wildfire,0,0.13,0.45,5.98,18.26,1.61,7.4,4.89,2.83,2.83,0.58,2.19,0,0,0
AGO,AGO,96811.2,57634.19,50085.17,68570.4,90714.59,74326.16,142531.37,101532.72,163136.96,155119.62,179472.15,175303.79,163686.95,208438,159753.99
AGO,Commodity-Driven Deforestation,1555.93,1411.49,522.93,1243.3,589.53,1540.2,1226.75,912.29,2045.27,1603.1,2519.5,1967.09,2235.01,3547.07,1162.66
AGO,Forestry,133.77,87.6,28.88,88.99,29.58,15.85,153.49,157.43,269.94,156.37,363.03,670.18,299.77,626.66,281.55
AGO,Shifting Agriculture,94923.88,56086.39,49449,67220.11,90075.92,72766.12,141032.26,100391.42,160653.53,153228.98,176258.49,172403.64,160820.72,203927.73,158029.98
AGO,Urbanization,162.63,16.56,81.9,0,0.84,0,41.94,7.22,48.1,11.25,1.06,34.18,15.8,33.05,1.52
AGO,Wildfire,34.98,32.15,2.48,18,18.73,3.99,76.94,64.37,120.13,119.93,330.06,228.69,315.65,303.49,278.28
ALA,ALA,385.46,273.63,213.33,723.64,692.37,95.73,241.94,1263.13,654.99,626.17,457.11,648.98,507.52,535.74,549.4
ALA,Forestry,385.46,273.63,213.33,723.64,692.37,95.73,241.94,1263.13,654.99,626.17,457.11,648.98,507.52,535.74,549.4
ALB,ALB,3481.61,807.53,532.27,3046.68,639.12,889.22,5031.61,5233.65,1234.47,592.25,1081.97,5103.38,2415.39,927.44,245.45
ALB,Forestry,3105.15,737.85,496.69,2757.56,606.68,765.53,4210.81,4539.34,1131.88,549.31,1007.05,4669.85,2219.64,833.31,220.92
ALB,Shifting Agriculture,3.26,4.07,1.57,7.04,0.17,2.56,5.24,1.63,4.6,1.86,20.08,49.48,14.32,4.07,4.02
ALB,Wildfire,373.2,65.61,34.02,282.08,32.26,121.13,815.56,692.67,97.99,41.07,54.84,384.06,181.44,90.05,20.51
AND,AND,0.29,0.4,0,1.77,0.11,5.6,1.14,0.29,0.11,0,0.4,0,0,0,0
AND,Forestry,0.29,0.4,0,1.77,0.11,5.6,1.14,0.29,0.11,0,0.4,0,0,0,0
