"","ISO","Indicator","value.1991","value.1992","value.1993","value.1994","value.1995","value.1996","value.1997","value.1998","value.1999","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013","value.2014","value.2015","value.2016","value.2017"
"1","ALB","AGDP",1203.855296,1369.703809,1566.806419,1742.56155,2013.160936,2178.470912,1837.832207,1936.243351,2119.566811,2322.724446,2466.530691,2536.915524,2653.365641,2896.498638,3015.122138,3190.936352,3519.365796,3850.505352,4269.080863,4638.517905,4518.234328,4346.751244,5065.87075,5401.267521,5374.47637,5442.40885,5446.587369
"2","DZA","AGDP",4735.860543,4933.551749,4525.545882,4044.922812,4721.636167,5544.23717,4635.200464,5135.599714,5127.895323,5111.858516,5483.972822,5307.445681,5881.199848,5710.426524,5934.915678,6077.300439,6476.685643,6237.836321,7631.431332,8234.969797,9444.286162,10764.90038,13006.61783,12825.10698,14065.12385,14368.55098,14207.26633
"3","ARG","AGDP",383558.4464,325206.1164,307463.2614,330683.0782,271609.7367,210457.7256,194733.7093,209294.0368,220054.0913,238670.0187,197488.5402,167275.2292,116625.0943,102599.5751,138112.9299,161677.0487,194966.3314,146852.4702,104234.0561,140425.135,264831.5086,236631.7683,258619.8179,301092.1853,337759.7792,304181.2416,321316.1485
"4","ARM","AGDP",1791.140106,1558.633016,1259.73759,1344.039554,1422.304321,1577.894642,1620.738634,1721.37311,1863.782847,1851.771968,2041.484809,2156.46381,2352.794777,2751.136596,3172.740433,3322.900634,4064.298521,4307.095672,4404.305409,3647.838143,4025.223567,4549.293269,4916.887755,5530.002025,6289.041997,6161.399717,5767.112673
"5","AUS","AGDP",36042.74274,35468.79033,37038.18936,39003.73821,32998.8509,38959.11822,40988.11564,42273.57025,45339.10791,47756.97266,49941.36832,54791.2722,47027.9254,60718.23614,63928.80376,66862.10209,57151.86303,60783.91874,72284.39111,70356.50288,82077.69049,82435.44252,86706.84849,81236.90156,85599.24915,79292.73719,92769.52265
"6","AUT","AGDP",16743.80339,16769.73991,16810.32469,16893.02945,16608.31644,16674.45629,18051.60929,20067.38777,21545.69178,21331.70219,21996.49245,21530.17507,21851.52179,27636.4522,24255.56291,23594.00268,23880.76184,26432.20179,24387.65733,23406.06802,27966.84908,27195.51625,26832.89059,26123.99142,27433.49038,28957.30769,29810.11854
"7","BHS","AGDP",21838.1188,18839.97492,18966.99814,18984.65925,21918.01267,20517.81332,23525.67483,22174.9284,17846.6212,18850.80471,18286.8956,22991.66483,30850.46079,18690.96574,20819.34484,24851.76008,24735.17319,19605.17674,21503.05758,18335.01404,14972.12766,15145.80748,12587.7971,10843.37566,10158.67474,10592.68967,12263.37517
"8","BGD","AGDP",408.0853268,406.5107722,411.5616608,405.9768759,395.0087919,406.5129418,408.582489,412.5464089,416.1010539,434.538906,461.4883939,483.7623391,541.3620015,572.4438028,608.0598869,626.1196089,653.7535136,676.0678555,699.7395023,728.4838087,733.6127131,760.3000609,807.1930469,838.8980791,888.6276233,930.9897105,990.661053
"9","BRB","AGDP",13363.39395,10474.18114,11292.26223,11411.03176,12267.37837,12039.43664,11882.20439,11870.93324,13063.10016,15458.03924,12359.40723,12287.58797,10489.28424,12921.86464,19290.47596,11905.83264,14355.95067,15595.98538,15510.11278,15221.13412,12379.91543,15144.44,15936.2851,14820.34387,14059.68615,13489.35292,NA
"10","BLR","AGDP",4178.896802,3655.959001,3807.260824,3276.157632,2972.772436,3135.666653,3238.284198,3400.39055,3160.05453,3548.258152,3840.669014,4060.719143,4708.53342,5706.103113,6022.004114,6791.426545,7591.920205,8789.380603,8865.332582,9339.250154,10780.59849,11503.11303,11339.04001,11674.68868,11422.45163,11630.90444,12170.9952
