"","ISO","year","value"
"1","AFG",2002,NA
"2","AFG",2003,9.4096805951132
"3","AFG",2004,34.503038960757
"4","AFG",2005,10.75154924378
"5","AFG",2006,8.61218569817627
"6","AFG",2007,11.3191033542335
"7","AFG",2008,15.3336942075806
"8","AFG",2009,23.8353682405404
"9","AFG",2010,17.0069552262811
"10","AFG",2011,22.4415570491598
"11","AFG",2012,NA
"12","AFG",2013,NA
"13","AFG",2014,NA
"14","AFG",2015,NA
"15","AFG",2016,NA
"16","AFG",2017,NA
"17","AGO",2002,NA
"18","AGO",2003,NA
"19","AGO",2004,NA
"20","AGO",2005,NA
"21","AGO",2006,NA
"22","AGO",2007,NA
"23","AGO",2008,NA
"24","AGO",2009,NA
"25","AGO",2010,NA
"26","AGO",2011,NA
"27","AGO",2012,NA
"28","AGO",2013,NA
"29","AGO",2014,NA
"30","AGO",2015,NA
"31","AGO",2016,NA
"32","AGO",2017,NA
"33","ALB",1980,NA
"34","ALB",1981,NA
"35","ALB",1982,NA
"36","ALB",1983,NA
"37","ALB",1984,NA
"38","ALB",1985,NA
"39","ALB",1986,NA
"40","ALB",1987,NA
"41","ALB",1988,NA
"42","ALB",1989,NA
"43","ALB",1990,NA
"44","ALB",1991,NA
"45","ALB",1992,NA
"46","ALB",1993,NA
"47","ALB",1994,NA
"48","ALB",1995,77.2380564218727
"49","ALB",1996,80.7990553432655
"50","ALB",1997,75.3854215944566
"51","ALB",1998,96.2072381711491
"52","ALB",1999,105.815519835911
"53","ALB",2000,112.334272857742
"54","ALB",2001,120.867997492977
"55","ALB",2002,127.964277384373
"56","ALB",2003,85.0920823659856
"57","ALB",2004,81.7226743005013
"58","ALB",2005,86.9172366119227
"59","ALB",2006,98.0790482399172
"60","ALB",2007,NA
"61","ALB",2008,NA
"62","ALB",2009,NA
"63","ALB",2010,NA
"64","ALB",2011,NA
"65","ALB",2012,NA
"66","ALB",2013,NA
"67","ALB",2014,NA
"68","ALB",2015,NA
"69","ALB",2016,NA
"70","ALB",2017,NA
"71","AND",2010,NA
"72","ARE",2010,1086.96397515763
"73","ARE",2011,1402.86266878076
"74","ARE",2012,1958.20309967409
"75","ARE",2013,NA
"76","ARE",2014,NA
"77","ARE",2015,NA
"78","ARE",2016,NA
"79","ARE",2017,NA
"80","ARG",1965,NA
"81","ARG",1966,NA
"82","ARG",1967,NA
"83","ARG",1968,NA
"84","ARG",1969,NA
"85","ARG",1970,NA
"86","ARG",1971,NA
"87","ARG",1972,NA
"88","ARG",1973,NA
"89","ARG",1974,NA
"90","ARG",1975,NA
"91","ARG",1976,NA
"92","ARG",1977,NA
"93","ARG",1978,NA
"94","ARG",1979,NA
"95","ARG",1980,NA
"96","ARG",1981,NA
"97","ARG",1982,NA
"98","ARG",1983,NA
"99","ARG",1984,NA
"100","ARG",1985,NA
"101","ARG",1986,NA
"102","ARG",1987,NA
"103","ARG",1988,NA
"104","ARG",1989,NA
"105","ARG",1990,NA
"106","ARG",1991,1516.79368914394
"107","ARG",1992,1772.75389793237
"108","ARG",1993,2553.36644150017
"109","ARG",1994,2625.27219180705
"110","ARG",1995,1925.13544466337
"111","ARG",1996,1562.94454517682
"112","ARG",1997,1380.59233895256
"113","ARG",1998,1569.89388064953
"114","ARG",1999,1443.17525271501
"115","ARG",2000,1287.38077167855
"116","ARG",2001,1287.12844305088
"117","ARG",2002,931.544178477271
"118","ARG",2003,605.455600839925
"119","ARG",2004,650.206687957742
"120","ARG",2005,844.275899262423
"121","ARG",2006,1181.90776667295
"122","ARG",2007,3667.40805824618
"123","ARG",2008,5709.08832640965
"124","ARG",2009,4328.7802017061
"125","ARG",2010,NA
"126","ARG",2011,NA
"127","ARG",2012,NA
"128","ARG",2013,NA
"129","ARG",2014,NA
"130","ARG",2015,NA
"131","ARG",2016,NA
"132","ARG",2017,NA
"133","ATG",1977,NA
"134","ATG",1978,NA
"135","ATG",1979,NA
"136","ATG",1980,NA
"137","ATG",1981,NA
"138","ATG",1982,NA
"139","ATG",1983,NA
"140","ATG",1984,NA
"141","ATG",1985,NA
"142","ATG",1986,NA
"143","ATG",1987,NA
"144","ATG",1988,NA
"145","ATG",1989,NA
"146","ATG",1990,NA
"147","ATG",1991,NA
"148","ATG",1992,NA
"149","ATG",1993,NA
"150","ATG",1994,NA
"151","ATG",1995,NA
"152","ATG",1996,NA
"153","ATG",1997,NA
"154","ATG",1998,NA
"155","ATG",1999,NA
"156","ATG",2000,NA
"157","ATG",2001,NA
"158","ATG",2002,NA
"159","ATG",2003,NA
"160","ATG",2004,NA
"161","ATG",2005,NA
"162","ATG",2006,NA
"163","ATG",2007,NA
"164","ATG",2008,NA
"165","ATG",2009,NA
"166","ATG",2010,NA
"167","ATG",2011,NA
"168","ATG",2012,NA
"169","ATG",2013,NA
"170","ATG",2014,NA
"171","ATG",2015,NA
"172","ATG",2016,NA
"173","ATG",2017,NA
"174","AUS",1975,NA
"175","AUS",1976,NA
"176","AUS",1977,NA
"177","AUS",1978,NA
"178","AUS",1979,NA
"179","AUS",1980,NA
"180","AUS",1981,NA
"181","AUS",1982,NA
"182","AUS",1983,NA
"183","AUS",1984,NA
"184","AUS",1985,NA
"185","AUS",1986,NA
"186","AUS",1987,NA
"187","AUS",1988,NA
"188","AUS",1989,NA
"189","AUS",1990,NA
"190","AUS",1991,3875.69785262279
"191","AUS",1992,5348.14475876128
"192","AUS",1993,2765.61543662258
"193","AUS",1994,2814.8089328394
"194","AUS",1995,4339.3354871554
"195","AUS",1996,2911.81441560308
"196","AUS",1997,3397.65199430371
"197","AUS",1998,3732.76296262055
"198","AUS",1999,6204.31124904764
"199","AUS",2000,3668.8459324413
"200","AUS",2001,3558.59243915999
"201","AUS",2002,4202.58159876177
"202","AUS",2003,4509.2710125651
"203","AUS",2004,3970.42903333375
"204","AUS",2005,5876.60788891648
"205","AUS",2006,5805.48085165978
"206","AUS",2007,7578.80124671591
"207","AUS",2008,5047.48809142453
"208","AUS",2009,5437.38639670987
"209","AUS",2010,4406.46946460022
"210","AUS",2011,5672.85184319073
"211","AUS",2012,4346.74474891779
"212","AUS",2013,NA
"213","AUS",2014,NA
"214","AUS",2015,NA
"215","AUS",2016,NA
"216","AUS",2017,NA
"217","AUT",1976,NA
"218","AUT",1977,NA
"219","AUT",1978,NA
"220","AUT",1979,NA
"221","AUT",1980,NA
"222","AUT",1981,NA
"223","AUT",1982,NA
"224","AUT",1983,NA
"225","AUT",1984,NA
"226","AUT",1985,NA
"227","AUT",1986,NA
"228","AUT",1987,NA
"229","AUT",1988,NA
"230","AUT",1989,NA
"231","AUT",1990,NA
"232","AUT",1991,9814.30386719948
"233","AUT",1992,11375.328824459
"234","AUT",1993,11472.3607489478
"235","AUT",1994,11120.7449754146
"236","AUT",1995,11806.010541358
"237","AUT",1996,8053.46901836529
"238","AUT",1997,7602.77699944281
"239","AUT",1998,8182.88744746656
"240","AUT",1999,7677.87683121644
"241","AUT",2000,7452.00097072882
"242","AUT",2001,8155.36446297084
"243","AUT",2002,8781.63977921361
"244","AUT",2003,9173.39493591993
"245","AUT",2004,10050.4613136654
"246","AUT",2005,8933.70558684096
"247","AUT",2006,8631.64998625964
"248","AUT",2007,7201.33816319608
"249","AUT",2008,7904.39493108762
"250","AUT",2009,8151.86806292169
"251","AUT",2010,7751.7089546592
"252","AUT",2011,7787.6958648648
"253","AUT",2012,8010.41223090605
"254","AUT",2013,NA
"255","AUT",2014,NA
"256","AUT",2015,NA
"257","AUT",2016,NA
"258","AUT",2017,NA
"259","AZE",1992,NA
"260","AZE",1993,NA
"261","AZE",1994,NA
"262","AZE",1995,64.4002135861995
"263","AZE",1996,34.6899939866975
"264","AZE",1997,39.9001444388938
"265","AZE",1998,44.1667497538986
"266","AZE",1999,44.2967614363457
"267","AZE",2000,40.294896500081
"268","AZE",2001,39.2962718059581
"269","AZE",2002,49.7166286728954
"270","AZE",2003,55.3194369437277
"271","AZE",2004,56.0453107563739
"272","AZE",2005,69.0051835893471
"273","AZE",2006,84.6638036029862
"274","AZE",2007,131.879130499801
"275","AZE",2008,106.53068184443
"276","AZE",2009,183.538780862233
"277","AZE",2010,148.079126928024
"278","AZE",2011,141.336602466421
"279","AZE",2012,144.163126203773
"280","AZE",2013,NA
"281","AZE",2014,NA
"282","AZE",2015,NA
"283","AZE",2016,NA
"284","AZE",2017,NA
"285","BDI",1965,NA
"286","BDI",1966,NA
"287","BDI",1967,NA
"288","BDI",1968,NA
"289","BDI",1969,NA
"290","BDI",1970,NA
"291","BDI",1971,NA
"292","BDI",1972,NA
"293","BDI",1973,NA
"294","BDI",1974,NA
"295","BDI",1975,NA
"296","BDI",1976,NA
"297","BDI",1977,NA
"298","BDI",1978,NA
"299","BDI",1979,NA
"300","BDI",1980,NA
"301","BDI",1981,NA
"302","BDI",1982,NA
"303","BDI",1983,NA
"304","BDI",1984,NA
"305","BDI",1985,NA
"306","BDI",1986,NA
"307","BDI",1987,NA
"308","BDI",1988,NA
"309","BDI",1989,NA
"310","BDI",1990,NA
"311","BDI",1991,8.24845658438737
"312","BDI",1992,9.50746080187597
"313","BDI",1993,9.58117141882462
"314","BDI",1994,9.48789572960085
"315","BDI",1995,4.84115986557869
"316","BDI",1996,2.43292891558954
"317","BDI",1997,2.08288594884219
"318","BDI",1998,1.55026967864044
"319","BDI",1999,1.72975192004831
"320","BDI",2000,1.242887449937
"321","BDI",2001,1.35883773544045
"322","BDI",2002,0.950107766590939
"323","BDI",2003,0.818900334522421
"324","BDI",2004,0.708735015638032
"325","BDI",2005,0.40919066592061
"326","BDI",2006,NA
"327","BDI",2007,NA
"328","BDI",2008,NA
"329","BDI",2009,NA
"330","BDI",2010,NA
"331","BDI",2011,NA
"332","BDI",2012,NA
"333","BDI",2013,NA
"334","BDI",2014,NA
"335","BDI",2015,NA
"336","BDI",2016,NA
"337","BDI",2017,NA
"338","BEL",1995,NA
"339","BEL",1996,NA
"340","BEL",1997,NA
"341","BEL",1998,NA
"342","BEL",1999,NA
"343","BEL",2000,NA
"344","BEL",2001,NA
"345","BEL",2002,NA
"346","BEL",2003,NA
"347","BEL",2004,NA
"348","BEL",2005,NA
"349","BEL",2006,NA
"350","BEL",2007,NA
"351","BEL",2008,NA
"352","BEL",2009,NA
"353","BEL",2010,NA
"354","BEL",2011,NA
"355","BEL",2012,NA
"356","BEL",2013,NA
"357","BEL",2014,NA
"358","BEL",2015,NA
"359","BEL",2016,NA
"360","BEL",2017,NA
"361","BEN",1970,NA
"362","BEN",1971,NA
"363","BEN",1972,NA
"364","BEN",1973,NA
"365","BEN",1974,NA
"366","BEN",1975,NA
"367","BEN",1976,NA
"368","BEN",1977,NA
"369","BEN",1978,NA
"370","BEN",1979,NA
"371","BEN",1980,NA
"372","BEN",1981,NA
"373","BEN",1982,NA
"374","BEN",1983,NA
"375","BEN",1984,NA
"376","BEN",1985,NA
"377","BEN",1986,NA
"378","BEN",1987,NA
"379","BEN",1988,NA
"380","BEN",1989,NA
"381","BEN",1990,NA
"382","BEN",1991,NA
"383","BEN",1992,NA
"384","BEN",1993,NA
"385","BEN",1994,NA
"386","BEN",1995,34.1445583816388
"387","BEN",1996,31.4711066333439
"388","BEN",1997,31.4354081233162
"389","BEN",1998,33.2648763341668
"390","BEN",1999,40.5810501068858
"391","BEN",2000,42.721360216463
"392","BEN",2001,24.5952407468833
"393","BEN",2002,32.143603843415
"394","BEN",2003,37.4288745932631
"395","BEN",2004,31.2275955406455
"396","BEN",2005,33.907973196174
"397","BEN",2006,31.8194412558767
"398","BEN",2007,39.0496836361411
"399","BEN",2008,52.4556829293215
"400","BEN",2009,68.5691163022573
"401","BEN",2010,56.8557954530311
"402","BEN",2011,29.551364618644
"403","BEN",2012,46.0649175502227
"404","BEN",2013,NA
"405","BEN",2014,NA
"406","BEN",2015,NA
"407","BEN",2016,NA
"408","BEN",2017,NA
"409","BFA",1970,NA
"410","BFA",1971,NA
"411","BFA",1972,NA
"412","BFA",1973,NA
"413","BFA",1974,NA
"414","BFA",1975,NA
"415","BFA",1976,NA
"416","BFA",1977,NA
"417","BFA",1978,NA
"418","BFA",1979,NA
"419","BFA",1980,NA
"420","BFA",1981,NA
"421","BFA",1982,NA
"422","BFA",1983,NA
