"","ISO","Indicator","value.2012","value.2013","value.2014","value.2015","value.2016","value.2017"
"1","DZA","FLP",8.9,5.7,5.7,4.8,6.4,8.9
"2","AGO","FLP",15.7,12.1,12.1,13.3,15,15.7
"3","ARG","FLP",3.1,2.5,2.5,2.6,2.6,3.1
"4","AUS","FLP",0.8,2.3,2.3,0.8,0.8,0.8
"5","AUT","FLP",2.5,3,3,2.8,2.8,2.5
"6","AZE","FLP",2.1,2.4,2.4,1.4,1.4,2.1
"7","BHR","FLP",5.1,5.1,5.1,5.1,5.1,5.1
"8","BGD","FLP",5.6,5.2,5.2,5.6,5.6,5.6
"9","BLR","FLP",2.1,2.3,2.3,2.2,2.2,2.1
"10","BEL","FLP",2,4.1,4.1,2.1,2.1,2
"11","BEN","FLP",11.5,12,12,11.7,11.7,11.5
"12","BOL","FLP",2.5,2.8,2.8,2.8,2.8,2.5
"13","BWA","FLP",4.7,3.9,3.9,4,4,4.7
"14","BRA","FLP",7.5,2.1,2.1,14.7,7.3,7.5
"15","BGR","FLP",12.4,6.9,6.9,9.2,9.2,12.4
"16","BFA","FLP",7.5,6,6,4.7,5.3,7.5
"17","BDI","FLP",11,4.4,4.4,4.4,4.4,11
"18","KHM","FLP",10.8,6.5,6.5,10.7,10.7,10.8
"19","CMR","FLP",16.2,11.8,11.8,15.1,15.1,16.2
"20","CAN","FLP",2.8,2.6,2.6,2.8,2.8,2.8
"21","TCD","FLP",8.8,8.6,8.6,7.4,8.6,8.8
"22","CHL","FLP",4.4,4.2,4.2,3.8,3.8,4.4
"23","CHN","FLP",4.5,4.9,4.9,4.9,4.4,4.5
"24","COL","FLP",2.7,2.4,2.4,2.2,2.6,2.7
"25","COD","FLP",10.2,8.8,8.8,9.1,9.1,10.2
"26","CRI","FLP",10.7,4.1,4.1,9.4,9.4,10.7
"27","CIV","FLP",8.9,7.5,7.5,7.7,8.5,8.9
"28","CZE","FLP",1.5,1.1,1.1,1.4,1.4,1.5
"29","DNK","FLP",3,3.1,3.1,2.9,2.9,3
"30","DOM","FLP",4,3.5,3.5,3.8,3.8,4
"31","ECU","FLP",3.9,3.6,3.6,3.5,3.5,3.9
"32","EGY","FLP",6.6,6.3,6.3,6.7,6.7,6.6
"33","SLV","FLP",2.3,2.8,2.8,2.3,2.3,2.3
"34","ETH","FLP",5.3,5.2,5.2,5.2,5.1,5.3
"35","FIN","FLP",0.4,0.4,0.4,0.4,0.4,0.4
"36","FRA","FLP",2.3,2.4,2.4,2.2,2.2,2.3
"37","DEU","FLP",2.5,2.4,2.4,2.2,2.2,2.5
"38","GHA","FLP",19.3,18.9,18.9,19.2,19.2,19.3
"39","GRC","FLP",4.9,4.6,4.6,4.6,4.6,4.9
"40","GTM","FLP",4.2,4.5,4.5,4.3,4.2,4.2
"41","GIN","FLP",12.8,11.7,11.7,11.6,11.6,12.8
"42","HTI","FLP",11.2,10.6,10.6,9.8,24.5,11.2
"43","HND","FLP",3.7,3.3,3.3,3.3,3.3,3.7
"44","HUN","FLP",2.7,1.9,1.9,2.7,2.7,2.7
"45","IND","FLP",5.1,4.4,4.4,4.8,5.1,5.1
"46","IDN","FLP",5.8,6.3,6.3,6,5.8,5.8
"47","IRL","FLP",2.4,2,2,2.2,2.2,2.4
"48","ISR","FLP",2,2.5,2.5,2,2,2
"49","ITA","FLP",2,2.7,2.7,2.3,2.3,2
"50","JPN","FLP",2.6,2.5,2.5,2.5,2.5,2.6
"51","JOR","FLP",6.4,6.4,6.4,6.5,6.5,6.4
"52","KAZ","FLP",5.5,5.3,5.3,6.8,6.8,5.5
"53","KEN","FLP",4.8,4.1,4.1,4.8,4.6,4.8
"54","KWT","FLP",4.1,4.2,4.2,4.4,4.4,4.1
"55","LAO","FLP",5.3,5.5,5.5,5.7,5.7,5.3
"56","MDG","FLP",6.4,6.6,6.6,6.7,6.3,6.4
"57","MWI","FLP",12.4,9.5,9.5,9.4,9.4,12.4
"58","MYS","FLP",2.3,1.9,1.9,2.1,2.1,2.3
"59","MLI","FLP",4.7,5.4,5.4,4.7,4.7,4.7
"60","MEX","FLP",4.6,5.3,5.3,4.7,4.4,4.6
"61","MAR","FLP",6.4,6.3,6.3,6.7,6.7,6.4
"62","MOZ","FLP",5.3,3.9,3.9,12.4,5.3,5.3
"63","MMR","FLP",4.1,6.8,6.8,4.2,4,4.1
"64","NPL","FLP",9.2,9.6,9.6,9.2,9.2,9.2
"65","NLD","FLP",1.4,1.3,1.3,1.5,1.5,1.4
"66","NZL","FLP",4.8,4.2,4.2,3.7,3.7,4.8
"67","NIC","FLP",3,3.1,3.1,2.9,2.9,3
"68","NER","FLP",11.3,7.1,7.1,10.9,10.9,11.3
"69","NGA","FLP",10.5,9.7,9.7,10.5,10.3,10.5
"70","NOR","FLP",1.5,0.8,0.8,1.4,1.4,1.5
"71","OMN","FLP",3.2,2.9,2.9,3.2,3.2,3.2
"72","PAK","FLP",3.5,3.4,3.4,3.6,3.5,3.5
"73","PAN","FLP",3,2,2,3,2.8,3
"74","PRY","FLP",10.9,6.9,6.9,12.9,10.7,10.9
"75","PER","FLP",8.8,8.9,8.9,8.7,8.5,8.8
"76","PHL","FLP",2.7,2.8,2.8,2.9,2.7,2.7
"77","POL","FLP",3.7,3.7,3.7,3.8,3.8,3.7
"78","PRT","FLP",2.9,2.7,2.7,2.7,2.7,2.9
"79","QAT","FLP",4.1,4.1,4.1,4.1,4.1,4.1
"80","ROU","FLP",2,2.9,2.9,2.3,2.3,2
"81","RUS","FLP",2,1.6,1.6,1.6,1.6,2
"82","RWA","FLP",4.3,7.1,7.1,7.5,7.5,4.3
"83","SAU","FLP",3.3,3.5,3.5,3.6,3.6,3.3
"84","SEN","FLP",4.5,6.1,6.1,4.3,4.4,4.5
"85","SRB","FLP",4.1,4,4,4.3,4.3,4.1
"86","SLE","FLP",34.8,5.4,5.4,34.1,34.1,34.8
"87","SGP","FLP",0.4,0.4,0.4,0.4,0.4,0.4
"88","SVK","FLP",2.3,2.4,2.4,2.4,2.4,2.3
"89","ZAF","FLP",3.8,3.6,3.6,3.5,3.5,3.8
"90","KOR","FLP",4.6,4.7,4.7,4.8,4.8,4.6
"91","ESP","FLP",2.6,3.1,3.1,2.6,2.6,2.6
"92","LKA","FLP",3.9,3.7,3.7,3.6,3.9,3.9
"93","SDN","FLP",10,4.5,4.5,4.6,4.6,10
"94","SWE","FLP",1.8,2,2,1.9,1.9,1.8
"95","CHE","FLP",1.3,1.4,1.4,1.2,1.2,1.3
"96","SYR","FLP",6,4.9,4.9,5.2,5.2,6
"97","TJK","FLP",3.5,2.3,2.3,2.9,2.9,3.5
"98","TZA","FLP",9.2,6.8,6.8,10.1,8.5,9.2
"99","THA","FLP",3.7,6.6,6.6,3.4,3.6,3.7
"100","TGO","FLP",11.9,12.8,12.8,12.1,12.1,11.9
"101","TUN","FLP",5.1,5.4,5.4,5.6,5.6,5.1
"102","TUR","FLP",9.2,9,9,9,9,9.2
"103","UGA","FLP",4.1,7.6,7.6,7.4,7.4,4.1
"104","UKR","FLP",3.7,2.4,2.4,3,3,3.7
"105","ARE","FLP",6.1,6.9,6.9,5.9,5.9,6.1
"106","GBR","FLP",1.3,1,1,1.3,1.3,1.3
"107","USA","FLP",1,0.9,0.9,0.8,0.8,1
"108","URY","FLP",11.1,8.9,8.9,9.5,9.5,11.1
"109","UZB","FLP",2.2,1.6,1.6,1.9,1.9,2.2
"110","VEN","FLP",3.9,3,3,2.8,2.8,3.9
"111","VNM","FLP",7.2,6.6,6.6,6.9,7.1,7.2
"112","YEM","FLP",2.7,2.9,2.9,2.8,2.7,2.7
"113","ZMB","FLP",2.5,2.7,2.7,3,2.4,2.5
