"","ISO","Indicator","value.1992","value.2008","value.1993","value.1996","value.1991","value.1998","value.2015","value.2006","value.1990","value.1995","value.2005","value.2014","value.1994","value.2013","value.2016","value.2004","value.2002","value.2009","value.2010","value.1997","value.2011","value.2012","value.2000","value.2007","value.1999","value.2003","value.2001"
"1","AFG","SUSI",1.68392679410377,1.74025405483292,1.73770381107676,1.73770381107676,1.62960657493913,1.73824701326841,1.73824701326841,1.74107369031988,1.5752863557745,1.73770381107676,1.74145802031644,1.73834523607288,1.73770381107676,1.73852846476822,1.73824701326841,1.74180761974745,1.74234941070992,1.73984535744396,1.73945514569229,1.73770381107676,1.73909672362864,1.73878339530371,1.73824701326841,1.74066793380846,1.73824701326841,1.74210918456218,1.73816957021442
"28","ALB","SUSI",1.0983872906509,0.744597822289964,1.01779909269553,1.01481434462311,1.17897548860626,1.01481434462311,0.499833930933771,0.88908283384859,1.26254843463405,1.01481434462311,0.932052267037689,0.5128128582926,1.01481434462311,0.511824070458516,0.499975366681065,0.956177348347311,1.0023117608103,0.676269248066691,0.612662596124095,1.01481434462311,0.571511505747128,0.533919636017937,1.01481434462311,0.816104708567197,1.01481434462311,0.991945341148127,1.01414544097914
"55","DZA","SUSI",0.814269519578821,1.21419024699147,0.814269519578821,0.820127573676511,0.727863221637903,0.8259856277742,1.18543391176839,1.25728505396429,0.639992410172563,0.817198546627666,1.28352466780209,1.20365859141847,0.814269519578821,1.16940256026533,1.18543391176839,1.16737669857164,0.930365215067077,1.16598335308073,1.21266712462196,0.823056600725355,1.16533052611711,1.16212980371942,0.831843681871889,1.26202424029969,0.828914654823044,1.09786735365238,0.827281381463822
"82","AGO","SUSI",0.0710821257011926,0.0735443438960801,0.0710821257011926,0.0710821257011926,0.0710821257011926,0.0710821257011926,0.0710821257011926,0.0745498643819769,0.0710821257011926,0.0710821257011926,0.0745851858386124,0.0712026244395316,0.0710821257011926,0.0714274075409193,0.0710821257011926,0.0745729131551431,0.0734597340806937,0.0730429580926668,0.0725642502812295,0.0710821257011926,0.0721245417359828,0.0717401537311412,0.0710821257011926,0.0740520864172549,0.0710821257011926,0.0749385679837063,0.0736557840079825
"109","ARG","SUSI",0.491927936515989,0.622075840318071,0.495174985601903,0.503942018133871,0.486083248161344,0.50589024758542,0.66024121449861,0.587092910819952,0.481537379441064,0.503292608316688,0.569607125837013,0.662638513232025,0.499396149413591,0.667110528886941,0.66024121449861,0.549277490251045,0.5155033044311,0.63851151528176,0.657579462645652,0.504916132859645,0.68011422439548,0.673332552918344,0.50816318194556,0.605027999703208,0.506539657402603,0.52751355498112,0.507554438141693
"136","ARM","SUSI",1.5047661670254,2.35137208621932,1.5102182183552,1.4993141156956,NA,1.55383462899362,3.08731493302265,2.05082780040157,NA,1.52657437234461,1.90990151527304,3.05129855368081,1.5047661670254,2.98411217844727,3.08731493302265,1.78171024856248,1.58304611008843,2.50123341706195,2.64431642662936,1.55383462899362,2.77574277999824,2.89063414224531,1.4938620643658,2.19961076902476,1.4938620643658,1.67113233519318,1.52232990817154
"163","AUS","SUSI",0.358289698708708,0.34556270208656,0.364870176500361,0.413877419001359,0.348418982021228,0.409548157296324,0.263748003758184,0.378974182591196,0.317248297744975,0.415609123683373,0.39448594039821,0.267751941324168,0.416994487428984,0.275221044455458,0.263748003758184,0.408731354270193,0.430808153624034,0.328902631773715,0.312996106811183,0.412145714319345,0.298385451241964,0.285612989109056,0.412838396192151,0.36243399370672,0.389806723921364,0.421019462356391,0.430850147152504
"190","AUT","SUSI",0.176576659723969,0.220515799228055,0.189496903118406,0.206723894310988,0.163656416329532,0.204570520411915,0.17534616035307,0.235488967288822,0.150736172935095,0.206723894310988,0.24276545215159,0.188200544727362,0.202417146512842,0.202215947140904,0.165090064181475,0.216636274490359,0.18066206989971,0.215023170921804,0.209778977612731,0.20736990648071,0.206713829241261,0.204182729816889,0.204570520411915,0.226078064703277,0.204570520411915,0.188805801330544,0.193001045941024
"217","AZE","SUSI",1.75939666551614,2.21538573634921,1.77685347155244,1.81176708362505,NA,1.79555719230562,2.58732953730538,2.06568525495564,NA,1.81301399834193,1.99512758282595,2.57697987958632,1.79555719230562,2.53684215945053,2.59508521315788,1.92690350730298,1.82253411351648,2.27680029377409,2.34963672129645,1.80802633947441,2.41405383468172,2.47695662729703,1.78308804513683,2.14017653888485,1.79555719230562,1.86642087901161,1.79731122366833
"244","BHS","SUSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"271","BHR","SUSI",4.3677035692,8.7354071384,4.3677035692,10.919258923,4.3677035692,8.7354071384,8.7354071384,8.7354071384,4.3677035692,8.7354071384,8.7354071384,8.7354071384,6.5515553538,8.7354071384,8.7354071384,8.7354071384,8.7354071384,8.7354071384,8.7354071384,10.919258923,8.7354071384,8.7354071384,8.7354071384,8.7354071384,8.7354071384,8.7354071384,8.7354071384
"298","BGD","SUSI",0.561442105263559,0.797107620935504,0.588970879457127,0.685321589134615,0.561442105263559,0.697274872666033,0.758309062818878,0.824179657545309,0.505297894737203,0.679344947368906,0.82788099599085,0.763683943666815,0.595490852292446,0.773710458493797,0.758309062818878,0.83478620963779,0.821440135002242,0.784261823791904,0.77645342108085,0.691298230900324,0.770272821620223,0.759018388821929,0.758309062818878,0.811019264976037,0.721724770798478,0.833019345210366,0.797273961099014
"325","BRB","SUSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"352","BLR","SUSI",0.656880635806894,1.05081582936714,0.66193356377464,0.66193356377464,NA,0.656880635806894,0.694777595564985,1.26774549958255,NA,0.66193356377464,1.10231041482628,0.682614236022545,0.66193356377464,0.659924225164913,0.694777595564985,0.941709476600031,0.722941064091573,0.847846464364914,1.00064940693587,0.66193356377464,0.581947093147934,0.628355061789158,0.631615995968168,1.19769467785112,0.631615995968168,0.803174948547443,0.643567178407178
"379","BEL","SUSI",NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0
"406","BLZ","SUSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433","BEN","SUSI",0.101358496063799,0.167669758153215,0.101358496063799,0.101358496063799,0.101358496063799,0.111494345670179,0.111494345670179,0.165748407812366,0.101358496063799,0.101358496063799,0.157592147251124,0.114243519705175,0.101358496063799,0.119371937432691,0.111494345670179,0.146888861907693,0.118078442232642,0.156230660522321,0.14530896039754,0.111494345670179,0.135277027016154,0.126507229615444,0.111494345670179,0.167563413353837,0.111494345670179,0.13366547818799,0.110455091908677
"460","BTN","SUSI",1.46854451084985,1.42299264177445,1.46854451084985,1.46854451084985,1.46854451084985,1.46854451084985,1.46854451084985,1.37521614080225,1.46854451084985,1.46854451084985,1.39883055662166,1.47592075749337,1.46854451084985,1.47613814723994,1.46854451084985,1.42031101978549,1.45360032113939,1.4441595499203,1.50729601383463,1.46854451084985,1.48592027636556,1.47681985616409,1.46854451084985,1.40029577756345,1.46854451084985,1.43884008854199,1.46377427582593
"487","BIH","SUSI",0.0634439125835513,0.0951658688753269,0.0634439125835513,0.0634439125835513,NA,0.0634439125835513,0.0951658688753269,0.0951658688753269,NA,0.0634439125835513,0.0951658688753269,0.0951658688753269,0.0634439125835513,0.0951658688753269,0.0951658688753269,0.0951658688753269,0.0951658688753269,0.0951658688753269,0.0951658688753269,0.0634439125835513,0.0951658688753269,0.0951658688753269,0.0951658688753269,0.0951658688753269,0.0951658688753269,0.0951658688753269,0.0951658688753269
"514","BWA","SUSI",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"541","BRA","SUSI",0.22275234821246,0.355782237540182,0.229496600970535,0.249737359544594,0.216008095454384,0.275050308211915,0.425599462289901,0.341656593603944,0.216008095454384,0.242993106786518,0.344143912808577,0.411521594843828,0.236248854028443,0.399237630584999,0.442068907997427,0.337968619092805,0.321938683645154,0.361974051831725,0.367925061208414,0.262393833878255,0.377905661325714,0.388193202199553,0.300363256879236,0.349066088400394,0.287706782545576,0.330606422550854,0.311878610155502
"568","BGR","SUSI",0.201540211070775,0.0673845126966135,0.17237634867654,0.126756899121312,0.201540211070775,0.112908137649189,0.109135760089815,0.0472703240479986,0.205776302815189,0.12854909178241,0.0412346616803448,0.107092491688416,0.136206642243466,0.103729945568322,0.109135760089815,0.0359814427159193,0.122498272619761,0.0831450907239709,0.100439238386534,0.115514963338059,0.103389293581935,0.104793578010396,0.101340348654828,0.0534493317906212,0.105576440399242,0.0310467895000046,0.106713105117209
"595","BFA","SUSI",0.232691690924149,0.308228900566495,0.232691690924149,0.242387178045989,0.21330071668047,0.242387178045989,0.242387178045989,0.313879825308878,0.193909742436791,0.242387178045989,0.307644280750425,0.248961511349836,0.232691690924149,0.261225532118564,0.242387178045989,0.297165412830362,0.263185936440067,0.304903790258905,0.293864488601869,0.242387178045989,0.295451950507237,0.278288762176976,0.242387178045989,0.308834641066524,0.242387178045989,0.282321707395525,0.240025158105454
