Country_Name,ISO,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,77.4368215445946,77.2793496418344,76.5734097877287,76.1875311771904,75.6378765752195,74.8437722654466,74.6311721786835,73.8423157910741,74.0075158660283,73.8035559256803,74.0403840428485,79.0704021635362,77.4978794332381,75.8089670368249,74.1307353941208,73.5871098054569,74.1301409564796,74.2848216777633,74.8905960150475,74.8643634390522,74.9396640756738,74.9039620954202,76.3421224546865,78.7637635234733,81.3451328246471,85.9601303720856,84.0520318259827,82.8874005592051,83.1825469330038,83.2512672749223,82.3148637527285,82.3128756873956,82.0274574599989,81.9611858979918,80.7399674163882,78.2289232031691,75.9914944108837,74.3142283903442,72.2111383640737,75.8839122520057,79.8911567125628,74.6341503842047,73.7630513794662,74.2444627732002,73.6236877065546,73.413175882543,73.5372605990258,71.2622410506859,70.2097623218394,67.0041935923839,66.878805793035,65.193083984295,66.5148866386077,66.3891730018704,67.4690123318436,67.8759728482751
Albania,ALB,32.9769969968525,32.8055757736902,33.0187839678557,32.7793832553176,31.3151692918579,31.3504807190724,30.8592478088204,31.6978562300813,32.2741127587185,31.826200102837,31.4623315945224,31.2800221013342,29.9286793768609,28.701660854984,27.5246908796353,25.4381084145464,25.0232451161943,22.5417665616801,21.8213354117329,21.3022186837743,20.6181605871908,20.452160476716,19.8703355810626,19.7969586161989,20.564154272279,19.694840703379,18.7135033455274,17.65279913576,16.5649850194854,17.758649320202,20.4687410012747,21.0209560817296,19.3926202038689,13.8011004942159,13.4857976238292,15.482553478118,17.2491182829081,17.9030526105396,18.0195140862596,17.2965980167422,17.8709238061564,17.2370576789431,16.5516979308325,17.4924348439777,16.6052973040869,18.2484991477172,19.327733307335,22.130507665993,23.3102569598302,23.1404081942596,23.1141210265306,22.7710014635464,22.648910451665,22.0778483746874,18.7064184610394,22.075581283435
Algeria,DZA,100,100,100,100,100,100,100,100,99.9547378527818,99.0322344033722,98.4843659210232,97.3480774891625,97.5939854661329,97.2706429547175,96.0468310695835,96.4346694602434,94.8556810082864,93.4994764097808,91.3002202706521,89.3868382097196,87.0618145174594,86.246083558734,85.205776844402,85.2502677035839,84.3023850599805,84.2419262061552,84.4039035969921,85.442908025892,84.5362278152004,83.6818059282415,84.4046574117247,83.5537546949244,83.1164152449472,84.8448860725203,85.161712995609,84.8494157529679,85.4280161374156,83.0060980860579,82.6976714483158,83.1522215780622,82.504930549228,83.5106366915618,82.293364473926,80.5625138117698,82.4106339863667,81.0280558811886,80.8088032086211,81.9567685313549,79.3740105057002,78.1614964163006,77.6191001418761,76.0387067617223,75.5547667306666,73.9785466109755,73.704399039357,73.8847695691479
American Samoa,ASM,35.9452074762702,37.9686966208027,31.3314366153008,25.9313591090868,24.233363542167,25.4012394418825,32.4559341925571,34.5547625805426,33.6728422411972,33.6749886180188,34.0819319869116,34.2330245427264,34.1666683891811,34.1130585906687,34.0225205712149,33.9643409699099,33.2568447208228,33.6535334221267,34.1907768271205,34.2165556118944,33.792255360391,32.6799370123894,31.6269146782403,30.6519303634378,30.0787086304705,29.6983617402628,29.1466186416812,28.7801133891728,28.0047264008775,33.5220010571142,33.5017467224757,35.0360342834944,34.9680058262966,34.9467861398473,37.1062756404976,40.3378427186585,40.3367823278802,44.2307360608165,44.6870455123926,44.7369194359626,43.1771045434028,43.1771045434028,45.9208827726096,45.7495180882885,45.7495180882885,45.7230022815963,44.5594794367132,44.6137349231307,45.0999501046503,45.111548619152,45.1110212931854,45.1110212931854,45.1110212931854,45.1104939787234,45.1083848359098,45.095733842568
Angola,AGO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,62.1814998507877,62.1316218348495,62.0673198660783,62.1763841461032,62.2058388802738,62.2923472634173,63.1035436211276,63.4431525909608,61.0110204827652,62.8082244085339,62.0353383597718,61.7642179563764,62.0723631887898,59.3792101004874,58.6556864327875,58.6576435513134,61.1248074922304,59.2562578407596,60.518653675512,60.4899908939148,59.3354783758538,58.8366535346277,60.9047161397675,59.4324952517737,60.2122927015697,59.0412740876796,59.0159073235103
Antigua and Barbuda,ATG,33.3191598834949,30.244052440623,32.5859311506752,27.3317386254123,32.0166125292371,32.5016192245944,29.3592524551713,28.3310809458256,29.5630058042076,29.3279824421037,28.2565098750166,17.7025064735575,17.9247869606019,18.8866402547687,18.9726069494209,18.6920986465318,18.0994584108783,13.6664774078226,7.99914508947693,4.83121310083307,5.04968560346272,3.84271094532799,3.78354521795039,6.95863563004746,7.46586330212883,7.36934794344813,7.35730305081075,7.32715691903989,9.63441740276444,9.82017236329683,8.85815332474011,8.84188586482238,8.46051299823428,7.99903026308884,7.73577724382765,8.73239782305307,8.68152776016175,8.79097675465973,8.23444477268321,8.61832824819336,7.94869171952019,7.53575876026635,7.08364071278102,6.73100070674385,6.64835969865979,6.54718633687482,7.06828643872975,7.20012663499649,7.31423147735511,22.6634180878408,21.7319401500463,21.5726974438079,21.6327253128014,21.7152488036443,22.9122892063104,25.2497960947228
Argentina,ARG,54.1721633377497,54.0189903121096,55.0545135863392,53.5236884122205,51.3368362407741,50.2706374485129,48.9834675611052,49.0072432085917,50.3915904400017,50.2673750045312,49.7152903629068,48.76954090727,47.7518743422419,47.8119896251697,47.3092824763164,46.6888785167625,45.829283722251,46.9915821303142,47.2930173798471,47.7643641328967,48.140809131914,48.8215601923446,48.4366743406058,48.058374640715,48.3174790307307,48.867905785243,49.5218859163123,48.9120555056919,48.8627914306457,47.9286018018947,48.1905144130358,47.8637247818693,48.2694238588328,47.9402741723469,48.0870305918877,48.5951312066495,48.6888387010873,49.3448836614878,48.882171826065,48.3447279659085,47.434526190425,47.4514290605966,45.9500098492033,46.8756582000321,47.4527503069029,47.5050981725355,47.4933056776176,47.9964523309315,49.8258398236856,51.8068047878172,51.8857414451727,51.6718269948254,50.9871264107654,50.2981454543844,50.8771877715377,50.313798807124
Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.6192240344337,45.2590591722654,47.2768258604579,48.464452602394,49.3744499786228,50.1103375351418,51.4962825019946,51.6412675770823,51.3477388684908,50.8637398525444,49.3572054424848,50.2320615619696,49.6250258523335,51.624825273758,52.994403915398,52.4571701535957,52.3760929882409,53.4619569206136,54.1654787500574,53.3977599544351,51.2816953734136,48.7476619464132,48.4994525552224,47.4570281253968,46.9339854355206
Australia,AUS,83.1085676680773,82.3425944098861,82.0966077470584,81.5030047457347,81.439767250805,82.8447894853817,82.3005382860071,81.3277179302175,80.408396635755,79.4839166029249,78.6936500647508,78.3913639022077,79.1807875569565,78.2095459369811,76.9626305074044,76.8903474864535,78.091104558055,79.1030339825209,80.0950679120567,80.6047747960334,81.1097082498871,81.0298287832158,81.7524067370927,81.4756933805564,80.4648467550494,80.2790563962292,80.9156885856232,80.6421144198602,79.3867402117879,69.0732505172929,69.2355587567275,69.8802404859233,69.9159017325974,70.1861377585658,70.2593961727707,71.6888360092416,71.7786474338907,70.7553150773294,65.8347801140556,63.8907491011276,63.9499230562445,64.4804528070463,74.2814818896743,68.310288263256,74.284965700442,68.4842463746428,70.1865395023622,74.3947806049743,72.2328205476272,76.0017837626193,62.0961451841831,61.765409169271,71.4913904961336,68.9315686372193,66.8636582971857,68.3768504826075
Austria,AUT,23.3037093039532,22.5305153610718,22.507944251895,23.0277856518752,22.4969797662123,21.831284953391,20.8248299051081,20.4927169125423,20.5531568593172,20.5633815799661,19.8290230069769,20.0218535194082,19.2072912214159,18.616854232157,18.7597727275393,18.5437652543591,18.5753342897142,18.0976737346607,17.4935435546184,17.6001326485973,18.1180077749974,17.8479585823204,16.7297530898562,16.1872954030672,15.8865361893077,16.5103692185073,16.8426044557661,16.9872380596652,18.0453520130706,17.4178953794677,17.6689358834381,18.090709285991,18.8838383463427,19.0989515985653,20.0463286184947,19.8618049412604,20.1551848889254,20.6134069494097,20.7731784693285,21.19688826889,21.0893448665334,20.1760941094092,18.125445119731,22.3000216289112,22.2697379630911,22.5485599669107,22.9104870141168,22.3285427919465,22.6270168286374,22.0886795426097,21.7819711875337,21.7046681161631,21.6560054643059,21.2674635093072,21.5345205331323,20.9636834444911
