Country_Name,ISO,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.22296212140752,5.97528138917766,3.33811646634995,5.50163528468452,5.17432090330644,10.1137284189993,7.52558857832983,13.0006459266738,14.7647646232999,13.8676355103311,15.7134239676711,13.8242389163275,12.4640124661753,9.25088126324369,9.0250401235684
Albania,ALB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.88431702189063,2.07893054216208,11.4160124925244,19.4061717086044,22.6694780396819,27.3799154154418,20.6052506785556,21.8001769022108,24.9130728891648,26.0947338330692,27.4107440715498,28.3097772122793,32.1688504607902,36.3822360387311,37.7160743045449,38.5485075593813,41.5842586295161,44.2495627051672,43.823191982028,43.6388785156951,43.5835085861436,41.724602884212,44.7999926112432,45.4224023849625,42.8153839501083,43.426854816322
Algeria,DZA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.3620200050335,39.1733273957083,38.368956446865,33.688014494437,34.9749833448927,38.5784500299425,35.6030482114575,36.2965622526326,35.6581541603601,36.5777138268385,36.861488685194,35.770339148141,38.9271707926943,41.0684756866218,43.3646495462091,45.0496643770666,47.464747166933,50.0331339792179,49.3383773634319,52.4528009663706,57.4470475523728,59.4796326896996,61.9318931847633,61.1118229899058,57.6711631303585,56.5891486155574
American Samoa,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Angola,AGO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Antigua and Barbuda,ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Argentina,ARG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100,100,100,100,97.1418281805545,93.8794158850277,94.0991496320511,100,100,100,100,100,100,100,100,100,100,100,100
Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.5554635363902,18.8040651563841,15.4810638563332,16.8236365746932,18.1288032547578,19.981756470043,20.0381167934024,22.0625881285901,22.1616430309204,21.321434907418,22.7434625704521,23.2458350154698,24.9322266650374,29.4038873441134,34.2695632303806,36.8431230766606,43.6216508732992,47.0463672994412,44.8813509128475,42.3507561339123,44.3734946010363,45.6983659142048,46.9381876586463,48.702223639143,48.5535012370222,47.9639385759416
Australia,AUS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.9699661690237,92.1178153033879,91.1562917586885,91.5902927882459,90.1342620320655,93.2431650452662,94.5395922193931,92.5938362481778,92.4033699911413,93.4719868429486,91.8265262400454,93.0451018434042,92.5322253686451,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,AUT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80.1339549221982,81.3474726668761,80.5134922965399,80.956211841826,82.6847565992012,81.8771439884883,80.7892534018798,82.1452340595995,82.6227257840531,79.7777308306053,80.0614415198299,80.1363301671149,83.1733403271435,88.4042715175233,86.3486882658423,85.6391037952909,87.4287278415398,89.930993335928,87.5301438761538,86.0245679175618,89.5494219890991,87.4407715854892,87.4215699675187,87.0042997192554,84.8677699089125,85.7411824600126
Azerbaijan,AZE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.0350515018374,11.9122199241745,7.8831114703309,6.68735513072546,7.26030208499475,8.88769018851639,10.6142147725127,10.2954106444711,13.7973716475002,14.8074577863205,15.2641530008523,16.6374458645142,17.4322915404743,19.9495428154432,22.1802270330196,26.1827330206908,30.5177758448064,27.9384935620046,28.9769295852319,33.0470061079425,34.0955979817771,34.6599804313258,33.6869217877994,28.5397433383411,23.4278682160779
Bahamas,BHS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.5907684983829,72.4223573651842,72.005606719691,72.0297955591066,74.1838104095289,72.9621673690834,83.839428275492,83.1837021403323,80.1586452087393,80.8395335497655,80.0278279388378,84.1797091964107,88.8773676407117,80.3886764692948,82.4518731442022,85.0004908946145,84.9689500210536,81.0715129958293,82.294870109339,79.4104703118657,75.6018134343581,76.0199142964429,72.6398499816203,70.4217055379392,70.2085390863507,71.032714285291
Bahrain,BHR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.0491890794355,64.1396825032697,62.8451882530225,60.7240869841455,61.4054106007939,62.3420514168854,62.7212369330049,64.5902930104097,62.6887270203532,62.1892143776648
Bangladesh,BGD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.271429610622354,0,0,0,0,1.33057659522898,1.04020763533055,0.774256765705315,0.332876165964233,0.487497294624656,0.482403804825553,0.610113499846494,2.93019394466111,3.86226646740721,4.35259847494043,3.82761247143172,4.67802683004156,6.26191471428271,7.73328336035251,9.23923822982524,9.79136070086938,9.63225279884518,11.3252264738181,13.0341227640101,14.7455925033565,16.2549054025119
Barbados,BRB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.3130785918369,68.6638664079912,70.1014935626304,70.1376609153136,71.4870737398762,71.291444814277,70.9522818289533,72.1354596092743,74.1622094577662,76.7724610141464,73.0981386399936,72.8978421434926,70.1512367092031,74.0657894668651,81.1878246378816,73.2567498360161,76.6474311475546,77.9744845858016,77.8003328733852,77.3443511712858,74.2154225340777,77.1635468766604,77.5824588867881,76.081780667393,74.8044378730291,73.3909248399351
Belarus,BLR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.421807844537,40.737932950626,42.3400634186933,40.0774979104812,40.6711916098655,34.9193891532106,36.3016645293576,35.9707552957288,38.5655322666676,42.8453769441445,48.0668985149383,51.3336556600882,54.5600586420407,57.9429983004149,63.270804353476,59.7879345728686,61.6907749679521,64.0811312513782,65.5788091959737,67.2072329805873,67.8136029716912,62.4341499209327,60.1813586651736
Belgium,BEL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92.2529346546759,91.9839428593463,90.570394982325,91.0325053119924,92.7783669070721,92.0175202300691,94.7005160507708,92.499532918544,95.6745116195189,94.0550373145327,94.7190193366499,96.5493771603442,98.4255544285145,100,100,100,100,100,98.1731245968654,99.8480453519471,99.6214694198551,96.926788887376
Belgium-Luxembourg,[],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belize,BLZ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.7645926976498,50.9265352779273,52.7491872986581,54.0449968421388,51.7329772151835,51.5377000650891,50.308427845468,53.1126652480054,51.5204948449151,53.0723254272619,52.456151877468,53.0340264038925,57.8650598155188,59.406894568561,60.0442453289174,58.81796022643,54.9169214666113,56.1206620373247,55.678872519174,56.6446274625279,56.1383602281347,56.9569891687438,56.943481776037,57.4775531527932,55.2203095219749,51.4158851879101
Benin,BEN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.95971962444622,6.23686592402559,10.705918592456,4.19093306895679,8.47427439849782,8.95319491028172,7.68057566515414,8.56647593275471,10.5816177645279,9.15796202616508,9.29740873677748,10.7795578064455,13.955809538996,15.8818008452149,15.5502889603787,16.1410255939604,17.8490614536435,19.7695964540737,19.4855683542824,18.0293338460894,19.8764083805717,19.7010607368102,20.9496872123416,21.2402408211537,16.1118201668563,17.1707974781311
Bermuda,BMU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bhutan,BTN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.6573371023284,14.966590283835,13.6310059887418,15.1199693387812,16.2729996719484,15.9040797037271,17.3909195019272,16.495035643231,16.2627166694328,15.6672838559939,15.1535601105174,14.6188420093659,14.8508579302805,15.6787679435554,17.211440897512,18.6623219747874,18.6134888417754,17.9379235417279,17.2990650571555,20.4837859675265,21.397247114786,20.0893709253606,20.8543203022122,21.2294589796969,20.4325931217803,20.7760776441781
Bolivia (Plurinational State of),BOL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.1850154983965,16.4941868368878,16.1882185714527,15.8950139771374,16.8235611997302,18.6584354123743,18.351368299891,18.1322961080579,17.6057965180283,16.4424151972099,13.4452459535661,12.5848775071992,16.0857946267462,15.78077699243,16.3557269577226,17.7403828444402,20.124741853492,23.3417611399122,24.1863064865085,24.7952597091481,27.1396974840399,30.1177573286559,30.3279003984916,29.2005899241775,31.577097724192,31.5304991753703
Bosnia and Herzegovina,BIH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.8400193914065,47.1627427400051,48.7198517372984,48.975276781876,48.674557906971,49.8029993710458,46.4413962213473,49.4290350048414,49.150378096808,47.1339256812959,46.7951469258362
Botswana,BWA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.667457335036,40.3536297290145,39.5751773364361,39.6690878191453,43.0699184595317,41.9410611910532,37.3544052134331,32.1211714496458,33.9245294831318,30.8720573295254,39.0456537789849,30.4504749169841,32.3425421798343,31.5007812209134,28.7458203339064,26.4160463278802,28.888809225432,28.7419627069542,29.5471551177722,32.4147949131779,32.084697090939,27.2407747392232,25.2751529540822,25.5150042135747,22.9770121216831,23.7552320812732
