Country_Name,ISO,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,100,100,99.8827973549768,100,100,99.2406481379863,99.0813995518288,98.3161975053688,98.5059827362617,97.0016906894322,96.7872421568081,100,100,99.266053339675,98.5138275935254,98.3356923919434,96.4271168616105,97.3402535428878,97.2209624218731,95.8078839089897,96.6324432228763,94.6189855018621,94.974376318279,92.7889798172834,92.6652609694322,93.8339232461504,93.9454304849805,91.9805967792914,91.3830595110103,91.6570816098349,92.4001255321546,92.1886571768929,94.3693115458524,100,100,99.6623189858463,100,100,97.8161496410832,99.2758857556753,97.0113030303077,97.9171845296337,100,97.4774597656039,100,96.3808058473612,100,100,100,99.4440850219647,93.1597703839717,75.2701690358089,90.0732549845645,93.9042483902219,91.1842916203268,NaN
Albania,ALB,80.6699888431486,82.6946578754523,81.9797404212408,84.4920143062587,81.9478380597117,83.4313153990739,80.432139778943,69.6335472199348,73.8831228997392,67.8390708213138,58.872800377964,60.0002767412379,57.8324648875766,57.3575340063259,56.9961128224638,53.4582627744519,49.957574960058,29.5425449058105,31.6012646499661,33.2051529817668,29.0520194166264,30.4443503899682,29.2310445844421,24.1601655795432,29.0121067845201,29.6711837283274,34.8557580677222,30.9723490213443,19.7132667492689,18.6788762079434,43.5054275156696,49.6832808972622,62.9385639464606,54.4398386025435,52.6271734350616,56.7206851763204,62.8418061821884,48.3590054901313,56.1403877899117,46.779030923413,44.8375019923359,3.01850214199409,3.85395297182267,6.21186870324484,4.34963447423317,16.2142328424809,11.2289336990276,29.7561685462762,20.8809504001421,19.1409793873892,13.2073318288587,17.577066865234,22.6674908055841,16.3334309092906,0,NaN
Algeria,DZA,100,100,100,100,100,98.4703350455006,100,100,99.4102692478741,98.0953122493156,94.0094498696601,94.2361364871877,92.7567437803513,93.4342993543744,99.464626194877,97.2923121078929,93.7822043521034,93.7272186835127,94.1194886812504,93.2684517519459,94.8807137238378,94.6571101019927,91.9199859958821,89.2700536876339,92.6119589513588,89.0460325915466,92.1590612312059,91.6039445342585,96.3925429387966,92.3453976145235,100,99.0406272056634,89.734494810987,88.4308749708526,100,100,92.4970675708394,98.4574817718514,95.457868178619,90.1867949749584,97.6134985074603,98.2969171088946,100,94.0696909023594,100,100,100,100,100,99.0000175219843,100,100,100,93.8668161997746,95.262588949102,NaN
American Samoa,ASM,96.4212415132955,96.7209563247971,95.3971982174894,91.7767420096644,90.4019033048571,91.2507326418362,94.1399186538075,95.261110038405,95.237220383522,95.373425382165,94.9084528858346,94.7595200706338,94.4720918622373,94.3211250213044,94.2697592230512,94.0825898985995,93.8557618808994,93.5997278085429,92.8046717571021,93.4648096191373,93.299104660103,92.9545047484278,92.5341392001757,91.7232716432874,91.4060771200236,91.2609966739712,90.7119775710878,90.4799673986268,90.3136331743701,92.7799883604832,92.1321902975051,91.9639332525029,93.1729140154772,93.658456283147,94.0559951902122,94.5936707818537,94.8798729665471,96.4209299560327,94.5147201539755,95.6809423674439,96.4007449952565,96.699267076916,97.3249475077772,97.1952543877651,97.480664841237,97.4241839306193,97.516466356946,97.6523698631035,97.8179721331335,97.8877958240701,97.8859777620211,97.7894343676344,98.1248520666778,98.0502412463952,98.1743364669797,NaN
Angola,AGO,100,99.9807390852071,99.7027531193289,99.9296209663274,99.4535639470219,99.0800126228213,98.7318011593486,98.7340015275866,99.4972618585133,98.9099074335827,97.5252353370301,97.2551179466792,97.752499435444,98.2311003420579,98.7187919695229,98.8062251661368,94.4564424009914,95.3781210866732,94.5729621373963,94.3859524927831,95.0107987953048,95.5272567575144,95.1949977622252,95.0613176330021,92.2035352245758,94.909207650699,95.3388123498652,94.9518254110527,93.5112928126359,94.8607084251621,95.7904877458492,95.7722918432602,96.0575473153154,96.2809167477158,95.8857778009808,96.0641254089701,96.144264254135,96.5205072462527,96.783248567314,97.4500355616943,98.013009244059,98.0047680687964,98.0024224259378,97.263732522635,98.1065116521529,97.5554174661246,97.2858007509351,96.5824535436601,97.0215161564329,96.2211085885063,96.9336691868868,93.7968517358492,96.4876556304917,94.3140406176177,93.8357993771828,NaN
Antigua and Barbuda,ATG,84.6778352836672,84.308565279235,86.2368030980534,83.8051578416543,78.2893254931525,68.1276800736314,66.7125428692174,17.1935904801383,50.3844243832486,55.7151456965549,76.1651035487484,22.3913636263005,13.1141990698187,58.5501918577781,56.1659406934561,55.9287606655501,25.2530189928273,18.0528296876976,13.737038983208,0,0,0,0,10.2389606714518,56.5297588520235,54.4960558291589,55.2856858866931,55.424824370942,54.6058088555342,50.3352596697158,31.898026054045,32.7729565686723,32.1658873763693,31.8993200656929,27.2984594470102,48.631292803818,49.0989585764128,47.896300315772,32.1477906938827,39.9447301408803,37.2460065789524,38.0476296179084,35.1223219176867,41.8151571938438,27.0208259002149,31.6284809667628,52.3825112810134,50.6435107753614,49.557011019772,64.2885132906367,54.2492552480667,48.4125836190574,48.2327535450067,50.3849096231922,64.2439133860038,NaN
Argentina,ARG,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.1078585382756,100,100,100,98.9485308561465,99.4556914641284,98.5002080219598,96.8231898670273,94.3728123227685,94.7159274917749,93.7713732683152,95.6153673615083,94.5162001754366,93.0537354011832,89.3713693734247,90.3993356670737,85.4464832632373,90.3982123125114,88.4259206033776,86.5079234766535,87.358365400172,81.7183365878282,79.2849805723239,71.7270986926102,74.4037808740863,74.9308707981705,69.1018836804444,66.2925453919985,73.5391895051001,72.4757326048582,65.1494355565978,72.2867862756156,78.2900142097679,72.4876992713842,72.6797918596737,71.3116244800788,NaN
Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76.0988605873058,81.5940939426049,92.794959076501,92.9769906200718,93.7824347042324,91.7521641790173,91.6548911597638,96.1308394703501,92.2984361992977,100,82.6295848891254,89.1592811076744,90.3349469591803,93.9180232733598,87.6467047009867,100,99.1686077447945,89.5116933310127,90.5454607640627,92.5854124612799,84.8817665510102,83.5544133224657,90.1744019001868,83.1029564199626,NaN
Australia,AUS,100,100,100,100,100,100,98.2964258052325,100,100,100,100,96.0686151644925,100,99.5310505861852,100,98.8266807147204,96.8673679876306,100,100,98.2210843314548,100,97.1365842451266,100,100,100,100,97.3901751736525,97.643457236801,96.5297517503528,96.8114271244905,93.7423710989931,97.2642830166151,96.0210877251136,93.0318404358803,93.7663941961443,94.8163376875572,92.8474425916564,91.9454409004501,91.5226806993168,92.9271518458997,91.2707989071735,94.2784082489549,91.8393889970574,93.6814054290248,93.6910623982758,97.4396702409365,93.8787803875744,91.2328351927538,94.956389109204,92.585890094033,93.7720321688226,93.5506160567005,88.2938186781594,84.9217529262685,85.9931433022819,NaN
Austria,AUT,61.5334927438664,56.2302044503174,55.3245331693196,55.3476191536964,42.1730381408228,49.9674175838918,47.2273396585874,42.779183760153,42.7391903292949,38.0635439374973,35.0633975817534,36.2598360363433,39.9886748875197,43.9976551235244,43.1968818204383,40.7215822940088,42.3700446683424,38.5765290506866,37.7276818349454,39.5476765444649,36.3197676545918,44.5366320982122,41.5228697821692,40.9121162048404,41.8436444323378,48.1935808792009,50.0834822688751,49.62221432222,54.4346531237201,52.7473875223898,52.0745802285527,50.9902082974457,51.2049240639428,51.7621569598651,51.3803351735607,47.4573783750596,52.9430401306665,51.5760283845666,54.0860967798657,53.4803008377644,55.4908142284083,34.1239577167083,0,65.7034267670587,64.110468029732,62.3338598798073,72.0279439062749,78.2103016457469,77.3555445011931,71.4674805205876,78.539814993465,63.4495195082531,60.3715833736869,62.6545461845275,58.9285949300491,NaN
