Country_Name,ISO,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.3626457895546,99.6360276297686,99.4355250972581,100,97.713055710294,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN,NaN
Albania,ALB,88.5627792438319,88.480945827316,88.9367034052598,88.1084610291591,83.7276778774482,85.7087666209311,82.6862864931022,66.8153141721291,64.2323865786046,59.8576878164605,58.0736966652932,59.9831969587785,60.7041689298212,55.1731908594367,52.3946473764769,59.9232962882259,63.1862245364577,60.6073561969079,61.0210583038424,62.273160656351,85.1183273852083,49.7803991114497,56.1849195998415,65.7294476854636,67.0875594900232,67.3020860352365,52.1376928633097,53.7469501053063,53.5978341022613,48.9194410469787,67.2074291441206,63.5660200255788,85.2395391588149,77.481984754056,79.0732230272147,81.322331447796,83.1415028736403,71.7651888911979,73.7488182993435,73.6445682415432,68.1581117292156,35.430158674886,29.5205671283939,24.0710381415799,21.5837664823753,32.3321295130548,31.6251094670184,46.2823592819456,38.5199955897489,28.2660813983823,31.3978565560018,34.8948436894618,30.632696607399,27.0964022207033,NaN,NaN
Algeria,DZA,95.6148410854651,98.1373757667948,99.2737086221958,97.8676606278915,99.6185893522163,95.141504001204,96.3953681081137,96.6926946806767,96.5795071792337,92.1625973490984,85.6250891932341,84.1996299363349,84.0421885413516,85.5532589565417,90.3613143608245,85.7718784773275,85.5629156384725,81.0989934302795,83.9488947815458,78.916644885,85.7984299804811,87.052134776138,82.8425943827044,80.5032493007234,76.9117832900586,80.444867680643,78.6355521025154,84.4589113143748,92.7112924606691,94.4979076250229,99.7530880525006,98.8069355875129,93.6793948164477,89.7282882169305,100,100,89.3914021008109,98.525316014488,97.8189768315414,93.95043574275,96.4840283736642,98.2752961990834,100,94.4520749976886,99.3634968797589,100,95.0163408897337,100,100,97.7832484976572,99.8899091899102,98.3777970641122,97.1230482969852,92.5269147866853,NaN,NaN
American Samoa,ASM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN,NaN
Angola,AGO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.2324137603261,100,100,100,100,100,100,100,98.8251283555312,100,100,99.2467894234262,98.4085645894862,99.7613736566173,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN,NaN
Antigua and Barbuda,ATG,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80.1705937088591,76.6383279890076,80.7007406764949,77.8982901037554,78.8290834307738,81.0815864595641,80.8272442023869,79.2292757112571,90.3630124755117,89.6314457722402,89.6265018125646,88.8686821667265,89.5226973640622,NaN,NaN
Argentina,ARG,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN,NaN
Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.8889741826559,100,100,100,100,100,100,100,99.9389251052399,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN,NaN
Australia,AUS,48.4324660750944,55.4518489806662,51.7686453121333,36.3608788830228,25.5268165920087,38.1231333374287,43.1511943199584,53.2169697789164,51.943080975871,49.7661918607169,48.5823705312253,34.5018210786079,29.8663499234696,70.2959666081103,77.7708225998957,67.6412720270651,67.6922698761575,68.9835358693299,64.9166057060328,66.243008941419,73.287853384988,71.9902052732353,79.0203589485436,77.0149812272622,79.7555783634723,76.5846742361333,65.4490784744452,67.1887910391554,69.4732464238186,80.9038209928937,73.8102557515232,73.5459630856576,75.0710962832439,64.0863202687341,68.8841857439614,73.9611616407661,69.442255036775,74.6323378133416,76.0913505277963,73.6349474647732,74.9261642253001,73.7627098451679,79.9806620004299,74.3069855538946,77.8857507327159,76.5685001638274,76.1105529994951,83.8554347112848,90.1007775129609,83.6546419323751,86.4163278411718,87.9115185076345,86.2476390714834,84.2609918335341,NaN,NaN
Austria,AUT,23.4177942685684,12.6795593271978,5.86967137578158,7.63616755805508,0,7.76440349949369,0,18.5289999383448,0,14.8360603240711,6.91100472516252,14.3958998709564,18.1868672600432,43.2744961273272,49.4434645474947,44.6175733838535,40.6182630830206,41.9417843698456,40.3806987853743,42.239775844859,44.6426864940676,53.3803497898256,45.4888444110755,46.8437568811932,51.670958581284,60.6442142025032,63.12671014932,63.4413583787661,68.3275013144608,64.7300494726729,66.0138262454174,67.9072950297571,68.1131200650913,73.9220750796859,74.3981263081361,69.507578180575,75.0808558146939,74.8083236387396,80.8381101906257,78.837482758525,80.4223876449524,56.5258923823214,86.2251380144441,88.9100838989679,88.1798550336594,85.5282322227004,92.9163653841561,97.5351427037434,100,99.857628880327,100,100,100,100,NaN,NaN
